AMASKCD,COUNT_RECOM,COUNT_TP
7649.0,145,213
7841.0,127,364
7865.0,48,0
7891.0,95,1518
7924.0,128,223
7937.0,28,53
7946.0,284,2156
7947.0,11,42
7987.0,16,55
8048.0,87,167
8061.0,125,286
8065.0,65,186
8098.0,1,2
8116.0,40,213
8118.0,41,525
8128.0,25,114
8130.0,39,54
8136.0,130,522
8152.0,85,165
8190.0,3,12
8556.0,54,449
8583.0,39,234
8617.0,34,94
8675.0,241,1079
8699.0,108,240
8775.0,16,32
9115.0,43,41
9119.0,1,0
9124.0,0,38
9146.0,83,233
9208.0,88,278
9303.0,4,4
9332.0,6,18
9445.0,27,70
9494.0,42,71
9495.0,33,19
9509.0,0,2
9514.0,40,248
9520.0,77,156
9523.0,20,73
9529.0,36,257
9532.0,59,124
9578.0,3,2
9584.0,107,426
9589.0,121,564
9591.0,58,0
9601.0,2,1
9613.0,30,148
9634.0,9,13
9636.0,36,734
9639.0,153,687
9651.0,112,327
9656.0,76,257
9669.0,47,101
9671.0,1,7
9690.0,27,46
9696.0,46,136
9700.0,208,921
9707.0,80,408
9721.0,88,297
9723.0,5,5
9725.0,31,57
9741.0,134,470
9742.0,132,673
9750.0,39,142
9757.0,60,95
9792.0,120,1028
9815.0,93,231
9832.0,32,208
9854.0,271,2200
9867.0,33,100
9873.0,2,9
9878.0,111,244
9899.0,195,892
9909.0,32,535
9913.0,183,1078
9915.0,29,83
9928.0,36,265
9931.0,24,63
9937.0,6,19
9945.0,1,36
9947.0,137,582
9950.0,18,209
9951.0,3,3
9953.0,31,0
9971.0,0,1
9972.0,18,184
9985.0,71,205
10002.0,3,14
10007.0,33,50
10026.0,93,165
10049.0,48,333
10057.0,71,156
10066.0,137,1036
10070.0,29,104
10101.0,11,32
10102.0,23,35
10152.0,0,5
10154.0,66,374
10160.0,69,202
10164.0,62,156
10175.0,22,11
10195.0,140,284
10203.0,237,820
10210.0,55,0
10211.0,118,335
10214.0,77,144
10222.0,10,0
10258.0,47,286
10259.0,80,502
10263.0,49,134
10272.0,73,319
10282.0,53,216
10283.0,210,947
10302.0,3,5
10310.0,0,24
10324.0,2,7
10326.0,8,22
10330.0,2,0
10354.0,121,277
10359.0,1,9
10370.0,73,239
10384.0,81,257
10387.0,49,271
10398.0,0,1
10405.0,2,2
10408.0,183,379
10415.0,154,338
10423.0,0,2
10456.0,14,122
10474.0,197,1701
10475.0,42,223
10479.0,81,786
10480.0,81,15
10483.0,65,152
10491.0,1,0
10494.0,0,3
10496.0,18,32
10507.0,57,78
10524.0,35,61
10528.0,44,208
10538.0,24,256
10541.0,2,0
10554.0,0,1
10576.0,104,1432
10594.0,97,342
10599.0,132,750
10609.0,32,122
10653.0,83,354
10672.0,84,247
10694.0,151,258
13938.0,33,153
13967.0,21,59
13986.0,5,18
14162.0,5,37
14201.0,4,0
14332.0,1,9
14477.0,0,10
14479.0,2,8
14629.0,14,13
14957.0,1,1
14963.0,43,175
14979.0,174,526
15008.0,115,569
15014.0,93,299
15056.0,40,69
15111.0,0,1
15203.0,0,1
15304.0,39,185
15311.0,1,4
15369.0,177,466
15723.0,0,1
15734.0,216,1080
15880.0,1,14
15896.0,1,0
15919.0,1,3
15944.0,39,137
15954.0,133,640
16004.0,103,307
16042.0,198,1186
16082.0,6,3
16333.0,4,4
17071.0,17,181
17604.0,2,23
17646.0,1,1
17807.0,3,21
17832.0,13,42
17875.0,9,0
17887.0,71,579
17953.0,14,69
17965.0,11,125
17970.0,1,3
17980.0,13,164
18081.0,43,185
18082.0,37,97
18143.0,33,126
18148.0,24,34
18188.0,67,120
18213.0,14,14
18225.0,36,555
18281.0,6,10
18324.0,10,18
18327.0,3,14
18334.0,55,466
18359.0,75,328
18421.0,3,14
18425.0,115,179
18436.0,16,71
18439.0,0,1
18441.0,3,9
18462.0,1,2
18489.0,34,168
18514.0,9,8
18596.0,29,125
18601.0,6,14
18603.0,128,761
18610.0,132,931
18614.0,8,6
18669.0,45,68
18677.0,171,604
18678.0,72,721
18683.0,85,219
18696.0,79,202
18755.0,2,8
18826.0,99,848
18831.0,29,185
18864.0,1,0
18979.0,109,484
19016.0,33,107
19026.0,3,7
19057.0,211,715
19083.0,78,311
