ANALYST,ESTIMID,COUNT_RECOM,COUNT_TP
AHMED S,CAPELEUR,2,7
AHMED S,NOMURAUS,1,1
AHO P,INDERES,4,0
AHUJA V,FBOSTON,3,31
AHWOI A,GOLDMAN,19,112
AI B,WBETH,21,31
AI H,BNPFH,5,13
AI X,ATLANEQU,2,0
AIKEN J,DEACON,24,1
AILANI D,JEFFEREG,11,46
AITKEN G,RBCDOMIN,3,0
AITKENHEAD J,EDISON,0,3
AIYAR H,DAWSON,0,1
AJA I,MERRILL,7,28
AJMERA S,CRISPIDE,67,104
AJZENMAN M,GRIFFIN,38,208
AJZENMAN M,SCOAST,0,1
AJZENMAN Z,GRIFFIN,4,20
AKAMINE K,MERRILL,4,10
AKERS M,WHEAT,31,232
AKERS S,CFRANOWM,0,1
AKERS S,WHEAT,102,772
AKINWALE A,DEACON,1,4
AKMAN M,MACQUARI,1,16
AKMAN M,MCLEOD,29,29
AKSCHUTI D,PARETO,1,0
AKYOL S,CFRANOWM,0,1
AKYOL S,STIFEL,280,1156
ALAM S,GOLDMAN,2,5
ALANIS A,JPMORGAN,22,81
ALANIS A,SANINVLC,8,12
ALANIS/URREA,SANINVLC,9,27
ALAZMEH F,MERRILL,3,6
ALBA C,MORGAN,10,0
ALBANESE G,AURIGA,21,31
ALBANESE G,CAPSTONE,6,10
ALBANESE M,EFHUTTON,14,34
ALBANESE M,EVERCO,1,1
ALBERT A,NOMURAUS,1,3
ALBERT S,MERRILL,5,28
ALBERTINE J,CONSUMER,37,84
ALBERTINE J,STIFEL,16,64
ALBINO G,GRIFFMCB,16,27
ALBINO G,MACQUARI,3,7
ALBRECHT M,POORSTAN,2,2
ALBRECHT T,FRIEDMAN,0,1
ALBRECHT T,SCOTT,69,229
ALBRECHT T,STEPHENS,23,89
ALDWORTH L,FBOSTON,0,1
ALDWORTH L,GOLDMAN,19,149
ALEKSANDROV V,FIG,0,73
ALEKSANDROV V,PRITCHAR,47,115
ALEKSEENKOVA M,HYPOTH,13,42
ALEVIZAKOS A,CAPELEUR,9,35
ALEXANDER B,RAYMOND,124,270
ALEXANDER C,BRILEY,0,1
ALEXANDER C,GILFORD,50,102
ALEXANDER C,LADENBUR,5,14
ALEXANDER C,POINT,123,428
ALEXANDER K,JPMORGAN,3,2
ALEXANDER L,JEFFEREG,202,2028
ALEXANDER M,CFRANOWM,0,1
ALEXANDER M,JPMORGAN,4,26
ALEXANDER M,MORGAN,10,39
ALEXANDER N,KEEFE,87,429
ALEXANDER P,MERRILL,9,35
ALEXANDER P,SCOTT,20,31
ALEXANDER/ANA,RAYMOND,1,0
ALEXANDER/ANASTASI,RAYMOND,0,13
ALEXANDER/SMALL,POINT,0,1
ALEXANDER/TINDLE,RAYMOND,0,1
ALEXOPOULOS S,JPMORGAN,159,1930
ALFONSO A,BTIG,0,1
ALFONSO A,FRIEDMAN,0,4
ALGER B,CRUTTEN,19,89
ALI R,LAWRENCE,17,97
ALIMBEK A,BCCINVES,16,14
ALIPIEV M,ARETE,5,4
ALKALAY E,IBI,1,1
ALLAN B,FBOSTON,0,1
ALLAN B,LAURENTI,1,0
ALLAN B,RESEARCH,40,42
ALLEN C,BUCK,14,34
ALLEN C,EVERCO,71,191
ALLEN C,FBOSTON,0,1
ALLEN C,MONTSEC,6,49
ALLEN C,PALIRESE,21,24
ALLEN C,POINT,33,172
ALLEN C,ROSSEC,11,32
ALLEN C,TICON,12,12
ALLEN J,JPMORGAN,1,1
ALLEN J,RBCDOMIN,3,0
ALLEN N,MORGAN,16,8
ALLEN T,CFRANOWM,0,1
ALLEN T,MORGAN,147,909
ALLEN T,SOUTHCRS,2,0
ALLEN W,BEAR,1,0
ALLEVATO G,SANINVLC,7,9
ALLIGER J,GOLDMAN,44,565
ALLING P,ATLANEQU,23,47
ALLISON E,CAPLP,1,0
ALLMAN J,FRIEDMAN,19,28
ALLMAN J,JPMORGAN,93,1211
ALLMAN/PIPES,FRIEDMAN,0,1
ALLOTT W,AMRO,1,0
ALMEIDA R,SANINVLC,2,6
ALMEIDA/BARBO,SANINVLC,2,0
ALMEIDA/BARBOSA,SANINVLC,0,5
ALMEIDA/MUNIZ,SANINVLC,1,0
ALMEIDA/MUNIZ*,SANINVLC,0,1
ALMQUIST G,REDEYE,0,2
ALONSO T,FOXPITT,11,62
ALONSO T,MACQUARI,50,417
ALPAUGH W,PIPER,4,3
ALPAUGH W,SIMMONS,7,0
ALPER G,MEITAV,1,1
ALPER G,ZANNEX,3,1
ALPER J,BTIG,12,9
ALSENAS J,LEERINK,12,0
ALTAMIRANO E,CAPELEUR,9,16
ALTEBRANDO S,SIDOTI,56,262
ALTHERR W,MIZUSEC,2,1
ALTMAN D,BRADESCO,1,1
ALTMANN N,MCLEOD,14,66
ALTOBELLO J,CFRANOWM,0,1
ALTOBELLO J,FAHN,43,167
ALTOBELLO J,RAYMOND,69,375
ALTSCHER D,FRIEDMAN,37,154
ALTSCHWAGER M,DAVIDSON,0,1
ALUKOS B,MRNGSTAR,97,10
ALVAREZ A,GOLDMAN,2,4
ALVES L,VOTORAN,1,1
ALVES R,MORGAN,7,63
ALVES S,PACMAN,5,5
ALVESTAD S,ARCTIC,7,15
ALWAY B,MERRILL,28,190
ALWAY B,SOGENED,4,8
ALWY F,CFRANOWM,0,1
ALWY F,LAWRENCE,50,416
AMADOR E,FBOSTON,5,3
AMATURO J,BUCK,104,265
AMIN B,JEFFEREG,124,605
AMIN B,MIDEST,6,12
AMIN B,STANFIN,14,23
AMIN B,TRXADVUS,0,9
AMIN B,WJBCAP,6,12
AMINI S,PARETO,1,7
AMINI S,TDSI,6,0
AMIR D,LADENBUR,23,52
AMIR D,LAZARD,95,186
AMIRA D,MERRILL,19,0
AMIRAS D,MERRILL,0,67
AMLADI N,GUGGEL,18,74
AMLADI N,LAWRENCE,36,294
AMLE G,FEARNLEY,5,8
AMLEKAR A,IIIR,14,36
AMOBI T,CFRANOWM,63,103
AMOBI T,POORSTAN,46,72
AMORIM B,CFRANOWM,0,1
AMORIM B,FBOSTON,0,1
AMORIM B,GOLDMAN,70,484
AMORIM B,OLMSTEAD,0,1
AMORIM B,SANINVLC,9,23
AMOSS D,GBM,0,1
AMOSS D,HOWARD,18,18
AMOSS D,IBERIA,20,94
AMOSS/HANCOCK,HOWARD,1,2
AMSELLEM D,FBOSTON,0,4
AMSELLEM D,FRIEDMAN,9,12
AMSELLEM D,PIPER,193,1197
AMSELLEM D,RBCDOMIN,0,1
AMSON A,SANINVLC,1,0
AMUSA G,CHARDAN,92,304
"AMUSA, MD, C G",CHARDAN,1,0
AN P,GFSEC,11,3
ANALYSTS M,MRNGSTAR,1,0
ANAND A,ARNHOLDB,21,82
ANAND R,PIPL,1,0
ANAND V,EXECUTE,1,0
ANAND V,JEFFEREG,2,0
ANANTHA S,FAHN,41,77
ANDBERG E,FELTL,36,69
ANDEREGG M,MACKINAC,2,3
ANDEREGG M,TOPEKA,1,1
ANDERSEN A,JEFFEREG,6,28
ANDERSEN J,BLAIR,78,0
ANDERSEN K,MRNGSTAR,79,15
ANDERSEN P,JYSKE,2,11
ANDERSON C,SUMMCAP,73,230
ANDERSON C,SWEDBANK,1,0
ANDERSON D,JPMORGAN,3,0
ANDERSON E,EVERCO,40,631
ANDERSON E,EXANE,0,1
ANDERSON J,FRCLAYSC,157,774
ANDERSON J,FRIEDMAN,0,1
ANDERSON J,JPMORGAN,53,394
ANDERSON J,LAFFER,4,6
ANDERSON J,STERNE,12,31
ANDERSON K,BRILEY,18,97
ANDERSON K,FRIEDMAN,24,108
ANDERSON K,SIDOTI,45,94
ANDERSON N,CAPELEUR,3,3
ANDERSON O,BEREN,0,5
ANDERSON O,CFRANOWM,0,2
ANDERSON R,BURNS,1,1
ANDERSON R,DAVIDSON,43,301
ANDERSON R,GKM,95,414
ANDERSON R,MIZUSEC,113,431
ANDERSON R,NORTHLAN,33,151
ANDERSON R,OLMSTEAD,31,95
ANDERSON R,SMBCNSAM,88,412
ANDERSON S,CANACCOR,29,60
ANDERSON S,CFRANOWM,0,6
ANDERSON S,FRIEDMAN,105,788
ANDERSON S,MAXIM,81,322
ANDERSON S,MILLERTA,73,288
ANDERSON S,MKMPARTN,44,99
ANDERSON S,SIDOTI,6,8
ANDERSON T,BERN,22,467
ANDERSON T,CFRANOWM,0,1
ANDERSON T,WOLFE,17,148
ANDERSON V,BRILEY,0,1
ANDERSON V,STIFEL,30,527
ANDERSON Y,MORGAN,13,21
ANDERSSEN J,RSPLATOU,1,2
ANDERSSON M,EVLI,2,2
ANDLAUER A,ALPHAV,3,3
ANDRADE F,ITAU,1,0
ANDRADE J,BRADESCO,0,4
ANDREASSE G,RSPLATOU,4,4
ANDREASSEN G,RSPLATOU,1,0
ANDREEVA A,CANACCOR,0,1
ANDREEVA A,FAHN,38,142
ANDREEVA A,FRIEDMAN,16,65
ANDREEVA A,JPMORGAN,15,41
ANDREEVA A,NEEDHAM,19,52
ANDRES JACOME D,SIDOTI,9,0
ANDRESS B,MCDONALD,62,282
ANDREW B,BLAIR,58,0
