ANALYST,ESTIMID,COUNT_RECOM,COUNT_TP
FLANAGAN O,CLEVELAN,1,0
FLANAGAN R,MONNESS,27,105
FLANAGIN J,FIRSANAL,5,6
FLANDERS D,GOLDMAN,42,118
FLANDERS D,GUGGEL,18,62
FLANDERS D,JPMORGAN,2,20
FLANNERY M,FBOSTON,39,185
FLANNERY S,MORGAN,277,564
FLANNERY S,OLMSTEAD,0,1
FLATEN T,LAKES,21,120
FLAVIN C,CJSSECUR,1,7
FLAVIN/URSANER,CJSSECUR,0,3
FLECK A,MRNGSTAR,107,12
FLEIG B,ROBINSON,1,33
FLEISCHER I,FRIEDMAN,4,14
FLEISCHER I,WNDRLICH,7,10
FLEISHMAN S,CFRANOWM,0,1
FLEISHMAN S,FRIEDMAN,0,1
FLEISHMAN S,MERRILL,94,324
FLEISHMAN S,WOLFE,199,1879
FLEMING E,ROBINSON,28,140
FLEMING J,SPROTTSE,6,0
FLETCHER A,FRCLAYSC,5,46
FLETCHER B,BERN,22,173
FLETCHER J,ANALYST,1,2
FLETCHER S,WOODGUND,2,9
FLINDER W,FORTNED,27,39
FLINT P,BLURTON,13,43
FLINT P,RBCDOMIN,3,5
FLORES J,CRUTTEN,2,2
FLORES V,CAPELEUR,61,85
FLOWER S,MACQUARI,11,41
FLOWER S,MONTSEC,0,1
FLOWER S,TAGLICH,0,1
FLOWERS E,JEFFEREG,1,4
FLOWERS S,MERRILL,4,13
FLYNN J,POINT,1,1
FLYNN K,FBOSTON,64,331
FLYNN K,FIRSANAL,0,1
FLYNN T,CFRANOWM,0,2
FLYNN T,GOLDMAN,65,928
FLYNN T,HCWAIN,0,1
FLYNN T,LAZARD,10,48
FLYNN T,MORGAN,25,193
"FLYNN, PH.D. T",GOLDMAN,61,0
"FLYNN, PHD T",GOLDMAN,17,0
FODDERWALA H,MORGAN,38,204
FODERO B,LAZARD,11,18
FODOR G,AUTORES,2,2
FODOR G,MORGAN,3,25
FOGERTEY K,GOLDMAN,15,165
FOGLEMAN S,FBOSTON,2,7
FOK A,DBSFH,1,21
FOK L,FBOSTON,0,1
FOLAN P,REDBURN,1,0
FOLKES B,CANTORFZ,38,200
FOLKES B,FRIEDMAN,0,1
FOLKES B,GUGGEL,1,7
FOLKES B,JPMORGAN,0,1
FOLKES/CHEN,CANTORFZ,1,1
FOLKESON E,FIRSTASA,1,39
FOLKESON E,FRIEDMAN,0,1
FOLKESON E,SWEDBANK,12,28
FOLKESON/GYLD,SWEDBANK,5,0
FOLKESON/GYLDENLOV,SWEDBANK,0,25
FOLKESON/STRA,SWEDBANK,7,0
FOLKESON/STRAT,SWEDBANK,0,16
FOLLOWILL B,USCASEC,52,0
FOLLOWILL R,PICKERIN,33,158
FOLLOWILL R,USCASEC,80,516
FOLTA L,JEFFEREG,44,238
FOLTA L,LONGBOW,19,28
FOMINA D,GOLDMAN,4,25
FONG C,MERRILL,4,14
FONG D,CANACCOR,20,23
FONG D,CFRANOWM,0,1
FONG D,MERRILL,0,1
FONG D,VERISEAR,11,13
FONG D,WOODGUND,2,14
FONG E,MERRILL,0,2
FONG H,CRUTTEN,18,49
FONG H,FULGLO,13,48
FONG H,MKMPARTN,38,331
FONG H,TICON,14,13
FONG J,JEFFEREG,2,18
FONG K,FBOSTON,29,75
FONG K,JPMORGAN,4,10
FONG K,NOMURAUS,1,3
FONG M,BTIG,60,180
FONG R,MERRILL,8,8
"FONG, P.ENG. D",CANACCOR,3,0
FONSECA J,SPARTANC,5,8
FONSECA R,PACMAN,1,1
FONTANELLI J,ARETE,40,57
FONTANESI L,BRADESCO,11,24
FOO Z,MACQUARI,3,13
FOOTE B,CLARKY,26,34
FORAN B,AUTORES,1,2
FORAN B,GOLDMAN,92,230
FORAN B,NOMURAUS,38,76
FORBES S,GUGGEL,22,214
FORBES W,FBOSTON,6,4
"FORBES, S",GUGGEL,10,0
FORD AGUILAR R,MERRILL,53,290
FORD AGUILAR R,MERRINTL,1,0
FORD D,FRCLAYSC,237,1366
FORD D,LEHMAN,13,92
FORD K,MCDONALD,68,186
FORD K,MITUSA,35,225
FORD M,EXANE,1,0
FORD R,MERRILL,67,0
FORESI J,CANTORFZ,82,413
FORESI J,JANNEY,51,514
FORGOTSON M,BERN,0,1
FORGOTSON M,SANDLER,34,208
FORMAN A,WRHCO,1,2
FORMAN/BROZAK,WBBSECUR,3,1
FORNARO C,MERRILL,15,97
FOROOHAR M,LEERINK,50,465
FORREST B,SUMMER,2,9
FORRY A,CANACCOR,11,22
FORST D,MCDONALD,72,92
FORSTER D,MERRILL,14,66
FORSTER N,GENUITYC,2,3
FORSTER N,MCLEOD,9,46
FORTE T,BREAN,10,27
FORTE T,DAVIDSON,81,449
FORTE T,MAXIM,18,48
FORTE T,TELSEY,0,63
FORTUNE S,CFRANOWM,0,1
FORTUNE S,CRUTTEN,32,167
FORTUNE S,GHUNTER,0,3
FORWARD P,CLUSA,0,1
FORWARD P,STIFEL,31,336
FOSCOLOS E,INDALSEC,2,2
FOSSA E,CARNEGIE,3,11
FOTHERINGHAM J,BURNS,141,1521
FOTHERINGHAM J,CFRANOWM,0,7
FOTHERINGHAM J,CRISPIDE,0,3
FOTHERINGHAM J,GOLDMAN,12,73
FOUCAUD S,AUCTUS,0,21
FOUCAUD S,BRILEY,0,1
FOUCAUD S,GRIFFMCB,2,5
FOUNG J,GABELLCO,114,0
FOURMAN L,GOLDMAN,1,5
FOWLER R,FRCLAYSC,5,31
FOWLER T,MCDONALD,116,503
FOX D,FRIEDMAN,10,61
FOX E,IBERIA,14,108
FOX E,OLYMPIA,9,15
FOX S,CLUSA,34,151
FOX S,CROSSRE,98,382
FOX S,FOXADVIS,78,154
FOX S,MERRILL,33,88
FOX T,LAWRENCE,18,144
FRADE R,BRADESCO,11,17
FRANCE J,AMERTECH,13,39
FRANCE J,CANTORFZ,86,356
FRANCE J,GHUNTER,13,23
FRANCE J,LOOPCAMA,17,47
FRANCE J,MONTSEC,0,3
FRANCESCONE J,MORGAN,11,18
FRANCFORT G,GUGGEL,11,94
FRANCFORT G,MERRILL,25,281
"FRANCFORT, CF G",GUGGEL,5,0
FRANCHI M,MORGAN,21,0
FRANCIS D,RBCDOMIN,29,101
FRANCIS N,CRUTTEN,2,5
FRANCO U,MERRILL,2,7
FRANCO U,POORSTAN,1,3
FRANCOIS H,BRILEY,5,18
FRANKEL S,BRIGANUS,20,42
FRANKEL S,CANACCOR,5,34
FRANKEL S,CFRANOWM,0,1
FRANKEL S,DBDAY,0,1
FRANKEL S,ROSSEC,15,45
FRANKEL S,SUMMCAP,52,258
FRANKIEWICZ A,BEREN,6,6
FRANKLIN J,JEFFEREG,4,6
FRANKLIN K,CANACCOR,2,0
FRANKLIN R,EDJONES,3,0
FRANTZ J,MERRILL,1,3
FRANZREB J,SIDOTI,118,753
FRASCH L,WHEAT,1,7
FRASER G,MERRILL,4,32
FRASER G,ROBINSON,12,90
FRATT C,EURPACAP,15,0
FRATT P,DAVIDSON,26,54
FRATT P,EURPACAP,0,22
FRATT P,NOBE,25,100
FRAYER M,KOMERC,1,1
FREAS B,MRNGSTAR,93,5
FREDERICK CPA K,OLMSTEAD,0,142
FREDERICK K,OLMSTEAD,20,0
"FREDERICK, CF K",OLMSTEAD,8,0
FREED B,MKEEGAN,21,19
FREED B,WNDRLICH,32,63
FREEDMAN C,BEREN,3,3
FREEDMAN C,OLMSTEAD,22,96
FREEDMAN C,SCOTT,26,32
FREEDMAN D,AMERTECH,53,284
FREEDMAN D,CRTCAP,13,29
FREEDMAN D,RBCDOMIN,43,248
FREEDMAN D,STERNE,10,13
FREEMAN J,CFRANOWM,100,210
FREEMAN J,CITASEC,0,1
FREEMAN J,MORGAN,0,1
FREEMAN J,RAYMOND,175,1346
FREEMAN R,FRCLAYSC,95,587
FREEMAN R,LEHMAN,11,53
FREEMAN/ANDRE,RAYMOND,18,0
FREEMAN/ANDREWS,RAYMOND,0,102
FREEMAN/CABLA,RAYMOND,2,2
FREEMAN/CHOY,RAYMOND,21,91
FREEMAN/GARCI,RAYMOND,2,0
FREEMAN/GARCIA,RAYMOND,0,3
FREEMAN/HOWELL,RAYMOND,0,3
FREEMAN/MEATS,RAYMOND,0,4
FREEMAN/MOLCHANOV,RAYMOND,0,2
FREI R,ZURCHER,1,0
FREIBERGER M,MERRILL,13,30
FREITAG M,ARGUS,20,0
FREITAG S,MERRILL,1,1
FREITAS C,ZACKSINV,2,4
FREITAS F,BRADESCO,0,1
FREITAS F,CAPELEUR,0,7
FREITAS S,GKM,11,39
FRELICK J,CANACCOR,24,117
FRELICK J,HALLUM,24,25
FRELICK J,LAZARD,5,19
FREMONT P,JEFFEREG,162,821
FREMONT P,JPMORGAN,0,1
FREMONT P,LADENBUR,24,49
FREMONT P,MIZUSEC,76,423
FRENCH M,DREXEL,16,40
FRENCH M,MLGA,31,54
FRENCH R,JEDAVY,1,0
FRESHNEY M,FBOSTON,3,1
FREUCHTEL J,ROBINSON,21,83
FREW J,FBOSTON,9,35
FREY A,JPMORGAN,2,0
FRIAR S,GOLDMAN,29,244
FRICK T,BOENNING,1,0
FRIEDEMANN J,GOLDMAN,2,8
FRIEDEMANN J,MERRILL,34,98
FRIEDLAND P,FULGLO,4,15
FRIEDMAN A,ACCOUNT,2,1
FRIEDMAN B,MERRILL,4,22
FRIEDMAN D,MORGAN,47,134
FRIEDMAN J,BRILEY,0,1
FRIEDMAN J,SUSQUEH,144,886
FRIEDMAN K,SIMMONS,0,10
FRIEDMAN M,BLAIR,7,0
FRIEDMAN M,NOBE,17,26
FRIEDMAN S,RENCAP,1,0
FRIEDRICHS F,LAWRENCE,3,15
FRIESEN K,WOODGUND,1,19
FRIESEN M,DLOUHY,1,1
FRIESEN M,RBCDOMIN,2,0
FRIESEN M,TDSI,4,4
FRISCH A,MORGAN,29,38
FRITZ A,GABELLCO,22,0
FRITZ T,GABELLCO,16,0
FRITZSCHE J,WHEAT,123,209
FROBERG G,BEREN,1,0
FROHNAPPLE N,BUCK,25,79
FROHNAPPLE N,LONGBOW,32,61
FROHNAPPLE N,NORTHRES,11,29
FROHNHOEFER W,BTIG,25,27
FROMMER J,FBOSTON,38,239
FROMSON S,WOODGUND,2,19
FROMYHR A,COMMSEC,1,0
FRONDA J,SIDOTI,114,49
FRONDA T,SIDOTI,34,2
FRONGILLO A,CABOTO,1,0
FRY V,MERRILL,22,26
FRY W,MERRILL,10,55
FRY W,RBCDOMIN,4,15
FU A,SHENWAN,2,0
FU S,FOXPITT,2,3
FU S,JOLSON,4,15
FU S,MACQUARI,4,9
FU T,EBRIGHT,7,0
FUCHS A,ITAU,3,3
FUENZALIDA J,LARRAIN,2,5
FUGELSNES T,AROS,15,34
FUHRMAN A,CRAIG,95,397
FUHRMAN A,PIPER,2,4
FUJIMORI R,FBOSTON,1,9
FUJIMORI R,ZOETE,1,2
FUJIWARA S,MERRILL,6,15
FULLER J,BTIG,38,98
FULLER J,FRIEDMAN,19,55
FULLER J,FULGLO,21,26
FULLER J,GKM,0,1
FULLER J,GUGGEL,47,89
FULLER J,LAZARD,49,66
FULLER J,OLMSTEAD,0,1
FULLER J,TRVLWISE,19,57
FULLER J,WEISEL,12,66
FULTZ K,JOLSON,1,23
FUNG A,BEREN,6,13
FUNG A,CLALEXHK,2,3
FUNG J,BURNS,16,38
FUNK M,MERRILL,83,269
FUNNELL J,FBOSTON,2,13
FUNNELL J,NXGEN,5,0
FUNTLEYDER L,MILLERTA,65,58
FURBY J,BLAIR,18,0
FURBY/SURI,BLAIR,1,0
FURLONG B,MILLERTA,63,193
FURLONG C,CANACCOR,0,21
FURLONG C,MORGAN,33,189
FURLONG R,GARP,39,0
FURLONG S,JEDAVY,0,1
FURTADO D,JEFFEREG,58,266
FURULY M,CARNEGIE,6,7
FUSTIER K,CAPELEUR,2,32
FUSTIER K,FBOSTON,13,77
FUSTIER K,JPMORGAN,4,0
FYE J,JPMORGAN,141,642
FYHR M,GHUNTER,44,132
FYHR M,GRIFFMCB,22,47
FYHR M,HCWAIN,22,34
GAARD M,CARNEGIE,16,33
GAARD M,SWEDBANK,1,5
GABEL M,GOLDMAN,2,39
GABELLI J,GABELLCO,11,0
GABILONDO E,MERRILL,17,0
GABILONDO MARQUEZ E,MERRILL,0,133
GABITOV M,BVBANK,9,10
GABITOV/BUZHE,BVBANK,11,0
GABITOV/BUZHENITSA,BVBANK,0,21
GABRIEL M,HERMANN,3,0
GABRIEL N,ARGUS,18,0
GABRIELE D,FAHN,29,215
GABRIELIK D,OTKRITIE,4,5
GABRIELIK/MAN,OTKRITIE,2,0
GABRIELIK/MANTSE,OTKRITIE,0,4
GABRIELIK/MANTSE/P,OTKRITIE,0,3
GABRIELSKI W,AMERTECH,36,101
GABRIELSKI W,LAZARD,18,52
GABRIELSKI W,STEPHENS,16,34
GACICIA D,DAHLROSE,17,33
GACICIA D,GUGGEL,43,132
GACICIA D,KLRGRP,34,144
GACICIA D,MORGAN,3,9
GADLIN A,CJSSECUR,14,34
GADLIN A,ODEON,25,34
GADSBY T,SOGENED,3,5
GAERTNER F,WHEAT,0,20
GAERTNER W,WHEAT,4,0
GAFANHAO I,BRYAN,3,6
GAFANHAO I,KEMPEN,4,7
GAFFNER S,FRCLAYSC,52,349
GAGGAR R,GRIFFMCB,1,2
GAGGIN J,AVIAN,5,8
GAGGIN J,JGCAP,40,88
GAGLIANO D,BURNS,42,525
GAGLIANO D,CFRANOWM,0,1
GAGLIANO D,FBOSTON,25,184
GAGLIANO D,FRCLAYSC,36,113
GAGLIANO D,RAYMOND,0,1
GAGLIANO/STER,BURNS,1,0
GAIDEN M,MRNGSTAR,9,3
GAILEY B,BAPTISTA,0,1
GAILEY B,KEEFE,137,1441
GAILEY B,MERRILL,0,2
GAILLIOT/DIEN,CDC,1,0
GAILUN K,JPMORGAN,7,82
GAIT P,BERN,13,270
GAJRAWALA K,FBOSTON,48,269
GAJRAWALA K,JEFFEREG,20,43
GAJUK J,CFRANOWM,0,1
GAJUK J,MERRILL,30,224
GAL A,BERN,35,0
GAL R,BERN,48,359
GAL R,BUCK,0,1
GALA G,MONNESS,7,7
GALAEN J,FIRSTASA,0,3
GALAEN/THORES,FIRSTASA,10,0
GALAEN/THORESEN,FIRSTASA,0,4
GALAN J,GKM,0,1
GALAN J,MERRILL,67,375
"GALANTI, III F",STIFEL,3,0
GALAPPATTHIGE A,CANACCOR,55,89
GALAPPATTHIGE A,FBOSTON,0,3
GALAPPATTHIGE A,SPROTTSE,1,9
GALBO P,CFRANOWM,0,1
GALBO P,MERRILL,31,181
GALINDO D,GABELLCO,12,0
GALINDO D,MORGAN,14,87
GALINKO M,MAXIM,20,43
GALINKO M,NATLSEC,19,48
GALINKO M,SIDOTI,64,240
GALISON D,WOODGUND,4,4
GALL M,BARRING,17,30
GALLACHER C,AURIGA,22,29
GALLACHER C,CAPSTONE,22,52
GALLACHER C,CARISCO,28,72
GALLAGHER F,LAZARD,3,6
GALLAGHER G,LAWRENCE,1,20
GALLAGHER G,MAINFRST,0,1
GALLAGHER T,EVERCO,76,635
GALLAGHER T,FBOSTON,73,422
GALLANT C,KEEFE,25,239
GALLANT C,NOMURAUS,19,107
GALLEGO S,IMTRUST,16,31
GALLEN N,MDB,0,5
GALLER A,MORGAN,13,15
GALLER A,WOLFE,3,26
GALLIANO V,CAPELEUR,12,26
GALLIANO V,FRCLAYSC,5,19
GALLIERS G,EVERCO,9,31
GALLIERS G,GOLDMAN,5,13
GALLIERS G,ISIGROUP,5,3
GALLIGAN J,CLALEXHK,15,38
GALLO A,WHEAT,58,0
GALLO J,JEFFEREG,15,101
GALLO M,CLKA,110,322
GALLO T,CANACCOR,3,4
GALLOSTRA A,BBVALTAM,5,9
GALLOWAY P,BERN,4,11
GALLUCCI J,DEACON,2,0
GALLUCCI J,GRIFFMCB,1,0
GALLUCCI T,FRIEDMAN,14,29
GALLUCCI T,LAZARD,39,133
GALLUCCI T,MERRILL,19,44
GALVES D,FBOSTON,14,72
GALVES D,LAWRENCE,7,20
GALVES D,WOLFE,30,95
GAMA F,SANINVLC,2,3
GAMAITONI C,POINT,84,0
GAMAITONI E,POINT,2,250
GAMBARDELLA M,JPMORGAN,112,914
GAMBARDELLA M,MERRILL,0,1
GAMBAROVA G,AKROS,2,9
GAMBLE B,PIPER,14,40
GAMBLE B,SIMMONS,40,451
GAMERMAN J,FRCLAYSC,1,2
GAMEZ S,MERRILL,17,178
GAMI A,MONTSEC,3,22
GAMMEL J,JEFFEREG,25,175
GAMMEL J,MACQUARI,59,281
GANDHI B,FAHN,12,7
GANDHI H,NOMURAUS,1,8
GANDHI M,CAPSTONE,4,6
GANDHI V,CAPELEUR,8,15
GANDHI V,MERRILL,3,21
GANDOLFO J,CLARKY,11,32
GANELIN M,ATONLINE,1,0
GANELIN M,TROIKA,1,1
GAO J,FBOSTON,0,4
GAO J,NOMURAFH,1,1
GAO J,NOMURAUS,1,15
GAO X,MACQUARI,2,7
GAO Y,CICC,2,13
GAO Y,EITYSIX,4,6
GAPON J,INFINA,5,0
GAPUTIS A,VIRGINIA,2,9
GARBER D,DAHLROSE,18,91
GARBER D,FRIEDMAN,7,7
GARBER J,GOLDMAN,28,266
GARCEA R,DLOUHY,3,4
GARCEA R,EUROPAC,4,6
GARCEA R,GLOMAX,6,15
GARCEA R,HAYWOOD,1,3
GARCEA R,NCPNOR,2,6
GARCHA K,FBOSTON,86,334
GARCHITORENA R,FBOSTON,27,196
GARCHITORENA R,WHEAT,6,30
GARCIA A,CFRANOWM,44,132
GARCIA A,PACMAN,3,5
GARCIA A,RAYMOND,2,1
GARCIA C,RAYMOND,2,12
GARCIA G,FRCLAYSC,16,65
GARCIA J,RAYMOND,0,1
GARCIA L,CANTORFZ,0,1
GARCIA L,WOLFE,1,11
GARCIA M,LAWRENCE,10,33
GARCIA R,FBOSTON,31,47
GARCIA R,MRNGSTAR,51,8
GARCIA/HOROWITZ,RAYMOND,0,1
GARCIA/MOLCHA,RAYMOND,14,0
GARCIA/MOLCHANOV,RAYMOND,0,54
GARCIA/MOLCHANOV/H,RAYMOND,0,5
GARDINER A,FRCLAYSC,3,0
GARDINER D,ARETE,24,32
GARDINER R,JPMORGAN,3,1
GARDINER S,MORGAN,7,14
GARDINER W,EVERCO,32,85
GARDINER W,TICON,5,6
GARDNER P,LEHMAN,1,2
"GARDNER, ENG. P",JEFFEREG,2,0
GARG A,CLALEXHK,1,0
GARG M,AMERTECH,7,7
GARG M,FBOSTON,0,2
GARG M,FULGLO,8,10
GARG M,MCDONALD,27,65
GARG M,MERRILL,2,19
GARG M,PACCREST,51,109
GARG M,SHEALTHA,10,13
GARG M,SOGENED,1,13
GARG M,TICON,6,4
GARG N,SICO,0,1
GARG P,CAPELEUR,16,79
GARG P,CFRANOWM,0,1
GARG S,CFRANOWM,0,2
GARGIULO D,BERN,10,29
GARGIULO D,CFRANOWM,0,2
GARGIULO R,INTMONTE,2,2
GARLAND M,LAWRENCE,1,0
GARMAN T,PETERSCO,7,39
GARMAN T,SPROTTSE,3,0
GARMONT G,FIRSTALB,9,25
GARMONT G,HALLUM,37,88
GARNER G,SINGRES,63,219
GARNER R,CAPELEUR,0,1
GARNER R,CRAIG,12,25
GARNER R,GHUNTER,5,14
GARNER R,LIFSCICA,1,3
GARNER R,THEBENCH,59,178
GARRE V,BERN,3,19
GARRETT A,LAWRENCE,4,28
GARRETT D,FORTSEC,0,3
GARRETT J,OLMSTEAD,3,22
GARRIGAN K,ROSSEC,0,7
GARRIGAN K,WESTPARK,20,27
GARRO J,BLAIR,5,0
GARRO J,MERRILL,0,1
GARRO J,PIPER,11,46
GARRO J,STEPHENS,12,31
GARRO/DANIELS,BLAIR,1,0
GARSTAD K,ARCTIC,25,49
GARZA J,GABELLCO,15,0
GARZA M,AFIN,1,0
GASHI A,FBOSTON,0,5
GASIEL A,BARRING,6,24
GASNER M,BUCK,0,2
GASPAR B,SPROCAP,1,1
GASPARETE D,ITAU,3,1
GASPARETE D,MERRILL,3,4
GASTALDY V,DBDAY,13,0
GASTALDY V,MERRILL,0,1
GASTEYGER S,ATLANEQU,6,18
GASTEYGER S,JEFFEREG,1,1
GATAULIN D,CHARDAN,5,26
"GATAULIN, PHD D",CHARDAN,8,0
GATES C,FBOSTON,20,15
GATTANI P,IIIR,9,7
GATTASS G,PACMAN,15,29
GATTERMEIR P,KANSAS,3,1
GAUDIOSO M,POINT,7,25
GAUFFIN S,AROS,10,11
GAUFFIN S,KAUPBANK,0,2
GAUGLER M,BREAN,162,308
GAUGLER M,JANNEY,135,439
GAUNA A,JOLSON,110,278
GAVRISH A,ETALONCP,12,13
GAWRELSKI K,WHEAT,21,76
GE N,CHRENUSA,11,20
GE N,WORLDSEC,1,3
GEARD A,INVESKS,1,0
GEARHART D,FIRSANAL,14,31
GEARY M,POORSTAN,0,1
GEE N,MERRILL,4,7
GEE R,FRCLAYSC,6,31
GEE R,MERRILL,20,73
GEELS S,BERN,1,4
GEIMAN D,MCADAMS,13,100
GEISSLER D,CLALEXHK,36,150
GEISSLER D,CLUSA,42,169
GEISSLER D,MERRILL,21,35
GELB J,FRCLAYSC,160,836
GELB J,LEHMAN,13,42
GELBLUM E,JPMORGAN,30,0
GELBLUM E,MORGAN,84,0
"GELBLUM, PH.D E",MORGAN,3,0
"GELBLUM, PH.D. E",JPMORGAN,0,31
"GELBLUM, PH.D. E",MORGAN,0,85
GELBTUCH D,CANTORFZ,9,12
GELBTUCH D,PPARTGRP,3,3
GELCIUS J,ARGUS,50,0
GEMMELL F,GOEPEL,1,6
GENDRON B,WOLFE,49,298
GENE LIH L,KIMENG,0,7
GENEREUX V,MERRILL,19,13
GENGARO S,CFRANOWM,0,1
GENGARO S,CRTCAP,17,21
GENGARO S,JEFFEREG,48,342
GENGARO S,LOOPCAMA,20,82
GENGARO S,STERNE,48,238
GENGARO S,STIFEL,53,459
GENOVA G,LAWRENCE,2,12
GENOVA N,BRILEY,13,26
GENOVESE M,CFRANOWM,0,1
GENOVESE M,ELEVATE,15,40
GENOVESE M,FULGLO,14,21
GENOVESE M,MKMPARTN,63,563
GENOVESE M,ROSSEC,18,88
GENOVESE M,WESTPARK,12,32
GENOVESI D,VERTRESP,21,201
GENTRUP J,DISCOVIN,3,3
GEORGAS C,JACKSON,0,1
GEORGAS C,JAMESRIV,0,1
GEORGE B,CFRANOWM,0,1
GEORGE B,KEEFE,239,1396
GEORGE D,FBOSTON,1,3
GEORGE V,JPMORGAN,7,14
GEORGES C,SOGENED,10,14
GEORGES W,JPMORGAN,1,0
GEORGESCU D,CAPSTONE,1,0
GEORGOPOULOS T,VERISEAR,1,0
GEORNAS B,SUSQUEH,3,9
GERAGHTY M,BOENNING,1,3
GERBERRY J,JPMORGAN,0,0
GERBERRY J,LEERINK,53,481
GERBERRY J,MERRILL,113,688
GERBERRY/SCHMIDT,LEERINK,0,2
GERBERRY/SCHWARTZ,LEERINK,0,1
GERDES J,CANACCOR,58,526
GERDES J,KLRGRP,237,993
GERDES J,MKMPARTN,115,651
GERDES J,ROBINSON,86,523
GERE J,MCDONALD,39,105
GERE J,RBCDOMIN,34,314
GERE J,WHEAT,7,0
GERLINGER B,HOVDE,24,231
GERMAIN M,JOLSON,132,276
GERMAIN/MCELR,MONTSEC,6,0
GERMAIN/MCELROY,MONTSEC,0,94
GERMANOTTA J,BLAIR,41,2
GERMINO N,ROBINSON,8,23
GERMINO/KARNA,ROBINSON,1,0
GERMINO/KARNAUSKAS,ROBINSON,0,1
GEROVA S,JPMORGAN,6,74
GERRA T,BENCHMRK,0,1
GERRA T,CFRANOWM,0,3
GERRA T,GOLDMAN,0,1
GERRY C,RAYMOND,0,0
GERRY/ADKINS,RAYMOND,9,20
GERSHELL L,FAHN,51,260
GERSHELL L,WMJM,3,4
"GERSHELL, MD, L",FAHN,11,0
GERSHUNI S,GOLDMAN,0,7
GERSHUNI S,MERRILL,0,1
GESUALE B,RAYMOND,166,378
GESUALE/BUGAR,RAYMOND,5,0
GESUALE/BUGARIN,RAYMOND,0,10
GETZ J,MIZUSEC,0,2
GEWEHR D,SANINVLC,3,1
GEYEN S,DAVIDSON,36,122
GEYEN S,STIFEL,32,53
GEYGAN J,CFRANOWM,0,1
GEYGAN J,GLOVALUE,1,11
GHAI R,CRAIG,21,63
GHAI R,HALLUM,90,279
GHAI R,MACQUARI,35,102
GHAYOR L,EXANE,4,7
GHEEWALA S,CFRANOWM,17,64
GHEIT F,FAHN,111,330
GHEIT F,FBOSTON,0,1
GHEORGHE A,MCLEOD,4,6
GHERNATI E,MERRILL,4,43
GHILOTTI D,EUROMOB,4,27
GHIYA V,MERRILL,5,11
GHOSE D,CANACCOR,8,0
GHOSH A,FBOSTON,11,116
GHOSH A,MONTSEC,2,2
GHOSH A,PALIRESE,0,1
GHOSH M,MERRILL,37,141
GHOSH M,WMSMITH,0,1
GHOSH R,FGS,2,0
GHUMAN J,FBOSTON,5,1
GIACOBBE R,CFRANOWM,0,1
GIACOBBE R,FBOSTON,58,432
GIAIMO A,JEFFEREG,2,36
GIAMICHAEL J,GHUNTER,34,31
GIAMICHAEL J,MABON,59,67
GIANARIKAS G,CANACCOR,35,89
GIANNAKOULIS F,BRILEY,0,1
GIANNAKOULIS F,MORGAN,113,505
GIANNAKOUROS J,FAHN,38,116
GIANNONE N,BALANZ,3,3
GIARDINO B,SANINVLC,4,6
GIBAS G,NORTHLAN,32,150
GIBBS L,TDSI,34,85
GIBBS M,JPMORGAN,3,6
GIBBS P,CFRANOWM,0,1
GIBBS P,MCDONALD,106,265
GIBLAT A,EXANE,7,85
GIBLAT/SIMPSON,EXANE,0,4
GIBLEN G,GOLDSMIT,0,1
GIBNEY J,SCOAST,203,1363
GIBNEY J,SIMMONS,0,1
GIBSON B,FRIEDMAN,0,1
GIBSON B,OCTAGON,18,28
GIBSON B,PACINTL,0,5
GIBSON C,CAPELEUR,2,8
GIBSON J,BURNS,3,0
GIBSON M,WOODGUND,6,21
GIBSON R,OCTAGON,2,0
GIBSON R,PACINTL,2,0
GIBSON W,CRUTTEN,36,111
GIBSON W,NOLLENBE,10,10
GIGNAC C,HARRISNC,3,1
GIKAS A,PIPER,66,272
GIL A,GBM,2,2
GILARDI R,MERRILL,217,846
GILBERT C,KEEFE,71,914
GILBERT C,RAYMOND,0,1
GILBERT C,SIDOTI,0,1
GILBERT C,STIFEL,63,98
GILBERT G,JPMORGAN,0,1
GILBERT G,LAWRENCE,51,385
GILBERT G,MERRILL,97,501
GILBERT G,ROBINSON,37,171
GILBERT M,IMPERCAP,16,39
GILBERT R,BTIG,14,106
GILBERT R,MORGAN,0,8
GILBERT R,POINT,4,10
GILBERT/GRAHAM,POINT,0,1
GILDEA B,JANNEY,1,0
GILDNER T,GRIFFENR,0,1
GILL A,WOODGUND,2,0
GILL L,JPMORGAN,75,835
GILL L,MERRILL,0,2
GILL R,CFRANOWM,0,2
GILL R,NEEDHAM,142,593
GILLE W,FORTNED,2,2
GILLESPIE A,FINTRUST,2,2
GILLIES I,FENERGY,1,0
GILLIES I,GRIFFMCB,6,5
GILLIGAN R,LAWRENCE,1,3
GILLINGS J,JOLSON,5,16
GILLIS C,BGCPART,36,160
GILLIS C,BRIGANUS,9,17
GILLIS C,CANACCOR,12,32
GILMAN J,CAPSTONE,15,29
GILMAN J,CROSSRE,5,17
GILMAN J,DREXEL,23,43
GILMAN M,THEBENCH,46,73
GILMER N,CANACCOR,4,7
GILMER N,HAYWOOD,11,16
GILMOUR D,CLALEXHK,5,9
GILPIN A,JEFFEREG,1,3
GILPIN A,MRNGSTAR,2,2
GILSON I,ZACKSINV,33,111
GILSON M,CANACCOR,13,61
GILSON M,FAHN,2,4
GILVARRY O,DOLMEN,2,2
