,IBES_NAME,total_valid_record,confidence_on_density,confidence_on_distance,choice,companyid,brokername,overall_confidence,correct
890,JEDAVY,37,0.9459459459459459,0.8857142857142857,189,27694546.0,Davy,0.9153348228041135,True
414,KAUPBANK,74,0.9594594594594594,0.8732394366197183,784,28440592.0,Singer Capital Markets,0.9153348228041135,True
457,ARDENLTD,43,0.9767441860465116,0.8571428571428571,139,26749989.0,Arden Partners Plc.,0.914991421995628,True
597,LADENBUR,49,0.9387755102040817,0.8913043478260869,38,24255118.0,Ladenburg Thalmann & Company,0.9147320339189784,True
85,DMGEE,61,0.9344262295081968,0.8947368421052632,5,25232408.0,Deutsche Bank,0.9143662142547109,True
639,BVBANK,134,0.9402985074626866,0.8888888888888888,511,27145387.0,UniCredit Research,0.9142324078276749,True
440,LAWRENCE,465,0.9505376344086022,0.8778280542986425,5,25232408.0,Deutsche Bank,0.9134596883007687,True
557,ZACHODNI,24,0.9583333333333334,0.8695652173913043,535,39861063.0,Santander Brokerage Poland,0.9128709291752769,True
775,OPSTOCK,18,0.9444444444444444,0.8823529411764706,901,39858920.0,OP Corporate Bank (ESN),0.9128709291752769,True
913,HELABA,12,0.9166666666666666,0.9090909090909091,720,39858163.0,Helaba Trust,0.9128709291752769,True
199,SICO,18,0.9444444444444444,0.8823529411764706,1301,40330912.0,SICO,0.9128709291752769,True
607,HILLIARD,18,0.9444444444444444,0.8823529411764706,762,26630928.0,Hilliard Lyons,0.9128709291752769,True
942,JYSKE,24,0.9583333333333334,0.8695652173913043,780,39836758.0,Jyske Bank A/S,0.9128709291752769,True
52,ANGELB,48,0.9791666666666666,0.851063829787234,463,32892864.0,Angel Broking Private Limited,0.9128709291752769,True
505,JANCO,18,1.0,0.8333333333333334,205,26379015.0,"Janco Partners, Inc.",0.9128709291752769,True
238,PACMAN,36,0.9722222222222222,0.8571428571428571,1065,39928300.0,BTG Pactual,0.9128709291752768,True
145,BANCOINV,30,0.9,0.9259259259259259,495,40227581.0,BB Banco de Investimento S.A.,0.9128709291752768,True
670,FONDSFIN,30,0.9666666666666667,0.8620689655172413,289,33444273.0,Beringer Finance AB,0.9128709291752768,True
710,HALLUM,106,0.9245283018867925,0.8979591836734694,46,10168652.0,ThinkEquity LLC,0.9111469032188405,True
148,SALMAN,47,0.9361702127659575,0.8863636363636364,305,37179784.0,Salman Partners Inc.,0.9109265799407509,True
900,WHEAT,317,0.9211356466876972,0.9006849315068494,1088,9589274.0,"Wells Fargo Securities, LLC",0.9108528952830013,True
27,MIDEST,70,0.9714285714285714,0.8529411764705882,25,25231533.0,FTN Midwest Securities Corp.,0.9102589898327995,True
257,BOBCAP,35,1.0,0.8285714285714286,3212,111813593.0,BOB Capital Markets Ltd.,0.9102589898327995,True
589,LOOPCAMA,35,0.9714285714285714,0.8529411764705882,98,25231492.0,Loop Capital Markets,0.9102589898327995,True
802,GOLDMAN,466,0.9463519313304721,0.8752834467120182,7,25232416.0,Goldman Sachs,0.9101242663820753,True
263,MIZUHOFJ,128,0.953125,0.8688524590163934,2351,40313274.0,"Mizuho Securities Co., Ltd.",0.9100137361600648,True
205,PANME,116,0.9482758620689655,0.8727272727272727,165,26257529.0,Panmure Liberum Historic (Panmure Liberum).,0.909717652294684,True
450,FEARNLEY,29,0.9655172413793104,0.8571428571428571,288,33444303.0,Fearnley Securities,0.909717652294684,True
48,NORTHLAN,58,0.9655172413793104,0.8571428571428571,893,37179964.0,Northland Capital Markets,0.909717652294684,True
