et_personid,et_personname,et_companyname,et_broker,et_brokerid,et_proid,et_earliest_year,et_latest_year,ibes_personid,ibes_personname,ibes_broker,match
92986,Sean Wieland,,Piper Sandler Companies,112.0,37849893.0,2016,2016,1859.0,WIELAND       S,PIPER,exact_onetoone
92997,William Chappell,,Truist Securities,261.0,36270135.0,2012,2020,1967.0,CHAPPELL      W,ROBINSON,exact_onetoone
92998,Anthony Stoss,,Craig-Hallum Capital Group LLC,181.0,30965374.0,2016,2016,5545.0,STOSS         A,CRAIG,exact_onetoone
93001,Richard Schafer,,Oppenheimer & Co. Inc.,108.0,40152453.0,2017,2021,1750.0,SCHAFER       R,OPPEN,exact_onetoone
93015,Christopher Ceraso,,Credit Suisse,4.0,29090298.0,2012,2013,846.0,CERASO        C,FBOSTON,exact_onetoone
93019,Nathan Brochmann,,William Blair & Company L.L.C.,51.0,40378261.0,2014,2016,295.0,BROCHMANN     N,BLAIR,exact_onetoone
93020,Arvind Bhatia,,Sterne Agee & Leach,1029.0,51436552.0,2014,2015,2209.0,BHATIA        A,STERNE,exact_onetoone
93054,John Glass,,Morgan Stanley,11.0,44457339.0,2012,2022,1595.0,GLASS         J,MORGAN,exact_onetoone
93056,Keith Siegner,,Credit Suisse,4.0,29090986.0,2013,2013,846.0,SIEGNER       K,FBOSTON,exact_onetoone
93060,Mitchell Speiser,,Buckingham Research Group Inc.,64.0,53461876.0,2013,2013,356.0,SPEISER       M,BUCK,exact_onetoone
93061,Nicole Regan,,Piper Sandler Companies,112.0,37851704.0,2013,2021,1859.0,REGAN         N,PIPER,exact_onetoone
93066,Sharon Zackfia,,William Blair & Company L.L.C.,51.0,27401604.0,2013,2018,295.0,ZACKFIA       S,BLAIR,exact_onetoone
93070,Holly Stewart,,Scotia Howard Weil,725.0,53557220.0,2015,2015,1128.0,STEWART       H,HOWARD,exact_onetoone
93079,Timothy McHugh,,William Blair & Company L.L.C.,51.0,35268242.0,2017,2019,295.0,MCHUGH        T,BLAIR,exact_onetoone
93082,J. B. Groh,,D.A. Davidson & Co.,180.0,30991319.0,2012,2012,691.0,GROH          J,DAVIDSON,exact_onetoone
93086,Garik Shmois,,Longbow Research LLC,269.0,38701745.0,2014,2018,375.0,SHMOIS        G,LONGBOW,exact_onetoone
93092,Ryan Cieslak,,KeyBanc Capital Markets Inc.,31.0,33774110.0,2016,2016,1485.0,CIESLAK       R,MCDONALD,exact_onetoone
93119,Michael Salinsky,,RBC Capital Markets,115.0,30463275.0,2012,2015,659.0,SALINSKY      M,RBCDOMIN,exact_onetoone
93121,William Crow,,Raymond James & Associates,114.0,53428885.0,2013,2021,1929.0,CROW          W,RAYMOND,exact_onetoone
93125,Scott Hanold,,RBC Capital Markets,115.0,30584954.0,2014,2022,659.0,HANOLD        S,RBCDOMIN,exact_onetoone
93129,Joseph Buckley,,BofA Global Research,10.0,54841825.0,2012,2014,1534.0,BUCKLEY       J,MERRILL,exact_onetoone
93135,Jamie Cook,,Credit Suisse,4.0,29095271.0,2012,2021,846.0,COOK          J,FBOSTON,exact_onetoone
93138,William Armstrong,,,,35957357.0,2012,2012,545.0,ARMSTRONG     W,CLKA,gpt_match
93140,Anthony Rizzuto,,Cowen Securities LLC,303.0,45585863.0,2013,2016,7564.0,RIZZUTO       A,DAHLROSE,exact_onetoone
93146,Sal Tharani,,Goldman Sachs,7.0,26859437.0,2013,2013,1020.0,THARANI       S,GOLDMAN,exact_onetoone
93148,Joseph Altobello,,Oppenheimer & Co. Inc.,108.0,40131209.0,2012,2014,1750.0,ALTOBELLO     J,OPPEN,exact_onetoone
93149,Lauren Lieberman,,Barclays,9.0,53460499.0,2012,2022,10902.0,LIEBERMAN     L,FRCLAYSC,exact_onetoone
93156,Michael Olson,,Piper Sandler Companies,112.0,37850237.0,2013,2018,1859.0,OLSON         M,PIPER,exact_onetoone
93157,Paul Coster,,J.P. Morgan,8.0,26858350.0,2012,2019,1243.0,COSTER        P,JPMORGAN,exact_onetoone
93160,Andrew Jeffrey,,Truist Securities,261.0,36269819.0,2013,2022,1967.0,JEFFREY       A,ROBINSON,exact_onetoone
93161,Brett Huff,,"Stephens, Inc.",44.0,27405292.0,2013,2018,2206.0,HUFF          B,STEPHENS,exact_onetoone
93178,John Bridges,,J.P. Morgan,8.0,26858324.0,2013,2013,1243.0,BRIDGES       J,JPMORGAN,exact_onetoone
93197,Glenn Greene,,Oppenheimer & Co. Inc.,108.0,44538961.0,2013,2016,1750.0,GREENE        G,OPPEN,exact_onetoone
93199,Auguste Richard,,Piper Sandler Companies,112.0,39577403.0,2012,2014,1859.0,RICHARD       A,PIPER,exact_onetoone
93201,Daniel Amir,,Lazard Capital Markets,812.0,53374548.0,2012,2012,1385.0,AMIR          D,LAZARD,exact_onetoone
93204,Jonathan Goldberg,,Deutsche Bank,5.0,29071928.0,2012,2012,1382.0,GOLDBERG      J,LAWRENCE,exact_onetoone
93206,Quinn Bolton,,Needham & Company,35.0,44266816.0,2016,2021,1648.0,BOLTON        Q,NEEDHAM,exact_onetoone
93217,Pavel Molchanov,,Raymond James & Associates,114.0,53344404.0,2012,2022,1929.0,MOLCHANOV     P,RAYMOND,exact_onetoone
93233,Ann Gurkin,,Davenport & Company,74.0,49543877.0,2012,2012,2377.0,GURKIN        A,VIRGINIA,exact_onetoone
93238,Mitchell Pinheiro,,Janney Montgomery Scott LLC,89.0,51325186.0,2012,2012,1237.0,PINHEIRO      M,JANNEY,exact_onetoone
93255,Glenn Novarro,,RBC Capital Markets,115.0,53733060.0,2012,2017,659.0,NOVARRO       G,RBCDOMIN,exact_onetoone
93296,Shaul Eyal,,Oppenheimer & Co. Inc.,108.0,40107524.0,2019,2020,836.0,EYAL          S,FAHN,gpt_match
93298,Tal Liani,,BofA Global Research,10.0,27444164.0,2012,2021,1534.0,LIANI         T,MERRILL,exact_onetoone
93313,Ittai Kidron,,Oppenheimer & Co. Inc.,108.0,40131803.0,2014,2022,1750.0,KIDRON        I,OPPEN,exact_onetoone
93314,Jason Ader,,William Blair & Company L.L.C.,51.0,49824311.0,2017,2021,295.0,ADER          J,BLAIR,exact_onetoone
93315,Jeffrey Kvaal,,Barclays,9.0,53425293.0,2012,2012,10902.0,KVAAL         J,FRCLAYSC,exact_onetoone
93319,Mark Sue,,RBC Capital Markets,115.0,30463364.0,2013,2013,659.0,SUE           M,RBCDOMIN,exact_onetoone
93322,Troy Jensen,,Piper Sandler Companies,112.0,37849764.0,2013,2013,1859.0,JENSEN        T,PIPER,exact_onetoone
93364,Clint Fendley,,Davenport & Company,74.0,49619881.0,2012,2012,2377.0,FENDLEY       C,VIRGINIA,exact_onetoone
93372,Jeffrey Zekauskas,,J.P. Morgan,8.0,26858581.0,2012,2022,1243.0,ZEKAUSKAS     J,JPMORGAN,exact_onetoone
93385,Tien-Tsin Huang,,J.P. Morgan,8.0,26858407.0,2013,2021,1243.0,HUANG         T,JPMORGAN,exact_onetoone
93387,Brian Alexander,,Raymond James & Associates,114.0,53342651.0,2014,2014,1929.0,ALEXANDER     B,RAYMOND,exact_onetoone
93392,Sherri Scribner,,Deutsche Bank,5.0,29085314.0,2014,2018,1382.0,SCRIBNER      S,LAWRENCE,exact_onetoone
93397,Kevin Maczka,,BB&T Capital Markets,175.0,30586384.0,2013,2013,2086.0,MACZKA        K,SCOTT,exact_onetoone
93401,J. Steven Smigie,,Raymond James & Associates,114.0,53374805.0,2012,2016,1929.0,SMIGIE        J,RAYMOND,exact_onetoone
93402,James Schneider,,Goldman Sachs,7.0,27879011.0,2012,2019,1020.0,SCHNEIDER     J,GOLDMAN,exact_onetoone
93405,Mahesh Sanganeria,,RBC Capital Markets,115.0,30943859.0,2014,2015,659.0,SANGANERIA    M,RBCDOMIN,exact_onetoone
93407,Ross Seymore,,Deutsche Bank,5.0,27901084.0,2012,2022,1382.0,SEYMORE       R,LAWRENCE,exact_onetoone
93460,Lawrence Solow,,"CJS Securities, Inc.",299.0,38013530.0,2019,2022,4474.0,SOLOW         L,CJSSECUR,exact_onetoone
93484,Daniel Perlin,,RBC Capital Markets,115.0,58050730.0,2013,2022,659.0,PERLIN        D,RBCDOMIN,exact_onetoone
93510,Joe Morford,,RBC Capital Markets,115.0,30464433.0,2013,2013,659.0,MORFORD       J,RBCDOMIN,exact_onetoone
94797,Scott Zeller,,Needham & Company,35.0,40253759.0,2013,2013,1648.0,ZELLER        S,NEEDHAM,exact_onetoone
94803,Mark Dwelle,,RBC Capital Markets,115.0,46645872.0,2014,2018,659.0,DWELLE        M,RBCDOMIN,exact_onetoone
94806,Robert Glasspiegel,,Langen McAlenney,810.0,53461371.0,2012,2012,1376.0,GLASSPIEGEL   R,LANGEN,exact_onetoone
94819,Jay Cohen,,BofA Global Research,10.0,27542174.0,2012,2019,1534.0,COHEN         J,MERRILL,exact_onetoone
94821,Matthew Heimermann,,J.P. Morgan,8.0,26858400.0,2012,2012,1243.0,HEIMERMANN    M,JPMORGAN,exact_onetoone
94864,Steven Alexopoulos,,J.P. Morgan,8.0,29532060.0,2013,2020,1243.0,ALEXOPOULOS   S,JPMORGAN,exact_onetoone
94867,Ian Zaffino,,Oppenheimer & Co. Inc.,108.0,29160939.0,2016,2016,836.0,ZAFFINO       I,FAHN,gpt_match
94918,Anthony C. Crowdell,,Jefferies LLC,90.0,38762845.0,2014,2014,1261.0,CROWDELL      A,JEFFEREG,exact_onetoone
94948,Ralph Giacobbe,,Credit Suisse,4.0,29093310.0,2012,2015,846.0,GIACOBBE      R,FBOSTON,exact_onetoone
94969,C. Stephen Tusa,,J.P. Morgan,8.0,44232520.0,2014,2022,1243.0,TUSA          C,JPMORGAN,exact_onetoone
94998,James West,,Barclays,9.0,53425312.0,2012,2014,10902.0,WEST          J,FRCLAYSC,exact_onetoone
95004,Ivan Marcuse,,KeyBanc Capital Markets Inc.,31.0,34923063.0,2016,2016,1485.0,MARCUSE       I,MCDONALD,exact_onetoone
95020,Christopher Ferrara,,BofA Global Research,10.0,27482279.0,2012,2013,1534.0,FERRARA       C,MERRILL,exact_onetoone
95021,John Faucher,,J.P. Morgan,8.0,26858375.0,2012,2015,1243.0,FAUCHER       J,JPMORGAN,exact_onetoone
95022,Jon Andersen,,William Blair & Company L.L.C.,51.0,31311293.0,2016,2016,295.0,ANDERSEN      J,BLAIR,exact_onetoone
95023,Linda Weiser,,Caris & Company,290.0,54133795.0,2012,2012,5253.0,WEISER        L,CARISCO,exact_onetoone
95029,William Schmitz,,Deutsche Bank,5.0,29070952.0,2012,2016,1382.0,SCHMITZ       W,LAWRENCE,exact_onetoone
95030,Christopher Marinac,,FIG Partners,19.0,26203395.0,2017,2017,6956.0,MARINAC       C,FIG,exact_onetoone
95196,Kenneth Zaslow,,BMO Capital Markets U.S. (Historical),210.0,33771764.0,2012,2015,998.0,ZASLOW        K,GKM,exact_onetomore
95196,Kenneth Zaslow,,BMO Capital Markets U.S. (Historical),210.0,33771764.0,2012,2015,364.0,ZASLOW        K,GKM,exact_onetomore
95198,Vincent Andrews,,Morgan Stanley,11.0,27711007.0,2012,2022,1595.0,ANDREWS       V,MORGAN,exact_onetoone
95319,Andrew Steinerman,,J.P. Morgan,8.0,50014506.0,2016,2021,1243.0,STEINERMAN    A,JPMORGAN,exact_onetoone
95322,Scott Schneeberger,,Oppenheimer & Co. Inc.,108.0,40108042.0,2015,2019,1750.0,SCHNEEBERGER  S,OPPEN,exact_onetoone
95358,Brian Singer,,Goldman Sachs,7.0,26859421.0,2012,2021,1020.0,SINGER        B,GOLDMAN,exact_onetoone
95402,Andrew Obin,,BofA Global Research,10.0,27461925.0,2012,2022,1534.0,OBIN          A,MERRILL,exact_onetoone
95403,Ann Duignan,,J.P. Morgan,8.0,49944054.0,2013,2021,1243.0,DUIGNAN       A,JPMORGAN,exact_onetoone
95409,Stephen Volkmann,,Jefferies LLC,90.0,53477640.0,2013,2021,1261.0,VOLKMANN      S,JEFFEREG,exact_onetoone
95433,David Begleiter,,Deutsche Bank,5.0,29197981.0,2012,2022,1382.0,BEGLEITER     D,LAWRENCE,exact_onetoone
95436,John McNulty,,Credit Suisse,4.0,33991325.0,2012,2015,846.0,MCNULTY       J,FBOSTON,exact_onetoone
95437,Kevin McCarthy,,BofA Global Research,10.0,53377065.0,2012,2014,1534.0,MCCARTHY      K,MERRILL,exact_onetoone
95440,Robert Koort,,Goldman Sachs,7.0,26859312.0,2012,2021,1020.0,KOORT         R,GOLDMAN,exact_onetoone
95454,Alexander Rygiel,,FBR Capital Markets & Co.,24.0,30466044.0,2012,2015,3431.0,RYGIEL        A,FRIEDMAN,exact_onetoone
95646,Dmitry Silversteyn,,Longbow Research LLC,269.0,36630933.0,2012,2016,375.0,SILVERSTEYN   D,LONGBOW,exact_onetoone
95648,Laurence Alexander,,Jefferies LLC,90.0,38762665.0,2012,2021,1261.0,ALEXANDER     L,JEFFEREG,exact_onetoone
95715,Cory Kasimov,,J.P. Morgan,8.0,35268589.0,2014,2021,1243.0,KASIMOV       C,JPMORGAN,exact_onetoone
95719,Joseph Schwartz,,Leerink Partners LLC,96.0,29381112.0,2014,2015,5143.0,SCHWARTZ      J,LEERINK,exact_onetoone
95728,Frank Morgan,,RBC Capital Markets,115.0,52886302.0,2015,2020,659.0,MORGAN        F,RBCDOMIN,exact_onetoone
95733,Jay Gelb,,Barclays,9.0,53936776.0,2012,2019,10902.0,GELB          J,FRCLAYSC,exact_onetoone
95735,Paul Newsome,,Sandler O'Neill,119.0,54044916.0,2015,2018,2024.0,NEWSOME       P,SANDLER,exact_onetoone
95740,David Lewis,,Morgan Stanley,11.0,44233469.0,2012,2020,1595.0,LEWIS         D,MORGAN,exact_onetoone
95745,William Quirk,,Piper Sandler Companies,112.0,37851684.0,2012,2019,1859.0,QUIRK         W,PIPER,exact_onetoone
95926,Jason West,,Deutsche Bank,5.0,27793081.0,2012,2014,1382.0,WEST          J,LAWRENCE,exact_onetoone
95929,John Ivankoe,,J.P. Morgan,8.0,26858415.0,2012,2021,1243.0,IVANKOE       J,JPMORGAN,exact_onetoone
95938,John Larkin,,Stifel,124.0,43605714.0,2012,2014,2213.0,LARKIN        J,STIFEL,exact_onetoone
96043,Arun Jayaram,,Credit Suisse,4.0,29090694.0,2014,2016,846.0,JAYARAM       A,FBOSTON,exact_onetoone
96044,J. Marshall Adkins,,Raymond James & Associates,114.0,53342669.0,2012,2019,1929.0,ADKINS        J,RAYMOND,exact_onetoone
96071,Jeff Tillery,,"Tudor, Pickering & Co. Securities, Inc.",1335.0,39101012.0,2013,2014,7712.0,TILLERY       J,PICKERIN,exact_onetoone
96245,Joseph Greff,,J.P. Morgan,8.0,49942729.0,2012,2022,1243.0,GREFF         J,JPMORGAN,exact_onetoone
96283,Daniel Fannon,,Jefferies LLC,90.0,27643032.0,2013,2021,1261.0,FANNON        D,JEFFEREG,exact_onetoone
96285,Michael Kim,,Sandler O'Neill,119.0,54046123.0,2013,2015,2024.0,KIM           M,SANDLER,exact_onetoone
96298,Lindsay Mann,,Goldman Sachs,7.0,27525259.0,2015,2018,1020.0,MANN          L,GOLDMAN,exact_onetoone
96299,Mark Astrachan,,Stifel,124.0,38016576.0,2012,2022,2213.0,ASTRACHAN     M,STIFEL,exact_onetomore
96299,Mark Astrachan,,Stifel,124.0,38016576.0,2012,2022,39128.0,ASTRACHAN     M,MAINFRST,exact_onetomore
96329,Justin Post,,BofA Global Research,10.0,27461696.0,2012,2022,1534.0,POST          J,MERRILL,exact_onetoone
96611,John Baugh,,Stifel,124.0,38016490.0,2014,2016,2213.0,BAUGH         J,STIFEL,exact_onetoone
96635,Michael Baker,,Raymond James & Associates,114.0,53343982.0,2012,2017,1929.0,BAKER         M,RAYMOND,exact_onetoone
96637,Scott Fidel,,Deutsche Bank,5.0,29084818.0,2012,2015,1382.0,FIDEL         S,LAWRENCE,exact_onetoone
96705,David S. MacGregor,,Longbow Research LLC,269.0,12344293.0,2013,2021,375.0,MACGREGOR     D,LONGBOW,exact_onetoone
96708,Jordan Sadler,,KeyBanc Capital Markets Inc.,31.0,33774526.0,2012,2021,1485.0,SADLER        J,MCDONALD,exact_onetoone
96739,Gary Prestopino,,"Barrington Research Associates, Inc.",141.0,29379275.0,2016,2019,234.0,PRESTOPINO    G,BARRING,exact_onetoone
96744,Brian Ruttenbur,,Morgan Keegan & Company,105.0,28042297.0,2012,2012,1576.0,RUTTENBUR     B,MKEEGAN,exact_onetoone
96846,Patrick Walravens,,JMP Securities,92.0,34258158.0,2017,2021,4747.0,WALRAVENS     P,JOLSON,exact_onetoone
96851,Sterling Auty,,J.P. Morgan,8.0,26858305.0,2016,2022,1243.0,AUTY          S,JPMORGAN,exact_onetoone
96852,Brian Johnson,,Barclays,9.0,53425383.0,2012,2019,10902.0,JOHNSON       B,FRCLAYSC,exact_onetoone
96855,John Murphy,,BofA Global Research,10.0,27507840.0,2012,2019,1534.0,MURPHY        J,MERRILL,exact_onetoone
96868,Tobey Sommer,,Truist Securities,261.0,36269845.0,2021,2021,1967.0,SOMMER        T,ROBINSON,exact_onetoone
96987,Henry Coffey,,Sterne Agee & Leach,1029.0,51435860.0,2016,2016,2209.0,COFFEY        H,STERNE,exact_onetoone
97110,Michael Lapides,,Goldman Sachs,7.0,26859319.0,2012,2022,1020.0,LAPIDES       M,GOLDMAN,exact_onetoone
97129,Steve Barger,,KeyBanc Capital Markets Inc.,31.0,33775070.0,2017,2017,1485.0,BARGER        S,MCDONALD,exact_onetoone
97132,Al Kaschalk,,Wedbush Securities Inc.,129.0,48926068.0,2012,2015,1738.0,KASCHALK      A,OLMSTEAD,exact_onetoone
97340,Glen Santangelo,,Credit Suisse,4.0,29093337.0,2012,2015,846.0,SANTANGELO    G,FBOSTON,exact_onetoone
97344,Robert Willoughby,,BofA Global Research,10.0,53363158.0,2012,2015,1534.0,WILLOUGHBY    R,MERRILL,exact_onetoone
97401,Jason Gurda,,Leerink Partners LLC,96.0,45978695.0,2012,2012,5143.0,GURDA         J,LEERINK,exact_onetoone
