IBES_NAME,total_valid_record,confidence_on_density,confidence_on_distance,overall_confidence,choice,companyid,brokername
RBCDOMIN,462,0.9588744588744589,0.909706546275395,(0.9339670081402085+0j),115,25231868.0,RBC Capital Markets
SUSQUEH,93,0.978494623655914,0.8901098901098901,(0.9332565252573827+0j),195,26539268.0,"Susquehanna Financial Group, LLLP"
NIKOIL,23,1.0,0.8695652173913043,(0.9325048082403138+0j),1073,40312305.0,URALSIB Capital LLC
BERN,206,0.9563106796116505,0.9086294416243654,(0.9321652422371001+0j),158,27012996.0,"Sanford C. Bernstein & Co., LLC"
INHENCRO,189,0.9735449735449735,0.8913043478260869,(0.9315175080076958+0j),389,40133067.0,Investec Bank plc (UK)
PARTNERS,15,0.9333333333333333,0.9285714285714286,(0.9309493362512627+0j),3282,407047412.0,Research Partners AG
CAIXABAN,15,1.0,0.8666666666666667,(0.9309493362512627+0j),538,29228341.0,Caixa-Banco de Investimento SA (ESN)
VELES,15,0.9333333333333333,0.9285714285714286,(0.9309493362512627+0j),1344,40173724.0,"Veles Capital Investment Company, LLC"
TROIKA,45,0.9333333333333333,0.9285714285714286,(0.9309493362512627+0j),1114,40260744.0,Sberbank CIB Investment Research
INTMONTE,37,0.972972972972973,0.8888888888888888,(0.9299811099505543+0j),751,30346648.0,Intermonte SIM S.p.A.
ROBINSON,169,0.9644970414201184,0.8957055214723927,(0.9294650748918901+0j),261,27145242.0,Truist Securities
EXANE,366,0.9316939890710383,0.9266862170087976,(0.9291867294263713+0j),230,26257295.0,BNP Paribas Exane
SCOTT,80,0.975,0.8846153846153846,(0.9287087810503354+0j),175,25218547.0,BB&T Capital Markets
ALTACORP,29,1.0,0.8620689655172413,(0.9284766908852593+0j),2771,126903479.0,ATB Capital Markets
INDERES,36,0.9444444444444444,0.9117647058823529,(0.927960727138337+0j),2476,98728008.0,Inderes Oy
LAURENTI,43,0.9767441860465116,0.8809523809523809,(0.9276125895432153+0j),198,32584008.0,"Laurentian Bank Securities, Inc."
THEBENCH,50,1.0,0.86,(0.9273618495495703+0j),1046,39862205.0,Benchmark Company
GHUNTER,85,0.9647058823529412,0.8902439024390244,(0.9267273220380225+0j),376,40176960.0,Seaport Research Partners
PACINTL,35,0.9714285714285714,0.8823529411764706,(0.9258200997725515+0j),928,39859498.0,Ventum Financial Corp
